timestamp,symbol,type,price,size,bid,ask
1766189114751764201,AAPL,TRADE,272.97,3,0.0,0.0
1766189140071308067,AAPL,TRADE,272.9705,1,0.0,0.0
1766189149981974856,AAPL,TRADE,272.97,2,0.0,0.0
1766189160165405469,AAPL,TRADE,272.98,100,0.0,0.0
1766189161841435453,AAPL,TRADE,272.97,100,0.0,0.0
1766189161841437676,AAPL,QUOTE,0.0,0,272.96,273.0
1766189161841437775,AAPL,TRADE,272.97,1,0.0,0.0
1766189161841437831,AAPL,TRADE,272.97,3,0.0,0.0
1766189161841437950,AAPL,TRADE,272.97,1,0.0,0.0
1766189161841694312,AAPL,QUOTE,0.0,0,272.96,272.97
1766189162022909179,AAPL,TRADE,272.98,59,0.0,0.0
1766189162022910400,AAPL,TRADE,272.97,141,0.0,0.0
1766189181999673447,AAPL,TRADE,272.97,25,0.0,0.0
1766189183346037713,AAPL,TRADE,272.97,100,0.0,0.0
1766189183625599173,AAPL,QUOTE,0.0,0,272.96,273.0
1766189183625793794,AAPL,QUOTE,0.0,0,272.96,272.97
1766189192093648352,AAPL,TRADE,272.97,100,0.0,0.0
1766189192290537455,AAPL,TRADE,272.97,200,0.0,0.0
1766189192290540423,AAPL,QUOTE,0.0,0,272.96,272.97
1766189192290677209,AAPL,QUOTE,0.0,0,272.96,273.0
1766189192290835568,AAPL,TRADE,272.97,1218,0.0,0.0
1766189197254654872,AAPL,TRADE,273.0,13,0.0,0.0
1766189197255516002,AAPL,TRADE,272.9999,13,0.0,0.0
1766189197542758254,AAPL,QUOTE,0.0,0,272.97,273.0
1766189203669953404,AAPL,TRADE,272.97,2,0.0,0.0
1766189211328675355,AAPL,TRADE,272.99,1,0.0,0.0
1766189214542797030,AAPL,QUOTE,0.0,0,272.97,273.0
1766189215604880213,AAPL,TRADE,272.99,2,0.0,0.0
1766189218209504679,AAPL,TRADE,272.9992,1,0.0,0.0
1766189220819016727,AAPL,TRADE,272.99,25,0.0,0.0
1766189221593375931,AAPL,QUOTE,0.0,0,272.97,273.0
1766189239295242584,AAPL,TRADE,272.999,1,0.0,0.0
1766189247135497525,AAPL,TRADE,272.9748,5,0.0,0.0
1766189247213339814,AAPL,QUOTE,0.0,0,272.97,272.99
1766189250377263609,AAPL,TRADE,272.99,1,0.0,0.0
1766189256692081266,AAPL,QUOTE,0.0,0,272.97,273.0
1766189256692452344,AAPL,TRADE,272.98,100,0.0,0.0
1766189265845924277,AAPL,QUOTE,0.0,0,272.97,272.99
1766189275937329730,AAPL,TRADE,272.9705,1,0.0,0.0
1766189294811905475,AAPL,TRADE,272.98,7,0.0,0.0
1766189294812440554,AAPL,TRADE,272.9701,472,0.0,0.0
1766189297891751616,AAPL,TRADE,272.9754,15,0.0,0.0
1766189309023954999,AAPL,TRADE,272.99,3,0.0,0.0
1766189309023956383,AAPL,QUOTE,0.0,0,272.97,272.99
1766189321092746522,AAPL,TRADE,272.97,100,0.0,0.0
1766189331703855963,AAPL,TRADE,272.98,100,0.0,0.0
1766189331703857407,AAPL,QUOTE,0.0,0,272.98,272.99
1766189335310587927,AAPL,TRADE,272.9818,1,0.0,0.0
1766189336389247116,AAPL,TRADE,272.98,14,0.0,0.0
1766189359655519694,AAPL,TRADE,272.99,1,0.0,0.0
1766189359720177552,AAPL,TRADE,272.98,10,0.0,0.0
1766189359720180009,AAPL,QUOTE,0.0,0,272.97,272.99
1766189367870843284,AAPL,TRADE,272.99,1,0.0,0.0
1766189385022956842,AAPL,QUOTE,0.0,0,272.98,272.99
1766189401142260632,AAPL,TRADE,272.99,12,0.0,0.0
1766189402437897196,AAPL,TRADE,272.99,2,0.0,0.0
1766189412650523159,AAPL,TRADE,272.9899,5,0.0,0.0
1766189414038461791,AAPL,TRADE,272.99,5,0.0,0.0
1766189417846080350,AAPL,TRADE,272.99,1,0.0,0.0
1766189448786734282,AAPL,TRADE,272.99,100,0.0,0.0
1766189456589713426,AAPL,TRADE,272.99,20,0.0,0.0
1766189481972609843,AAPL,TRADE,272.9899,1,0.0,0.0
1766189485956177090,AAPL,TRADE,272.99,100,0.0,0.0
1766189485956184589,AAPL,QUOTE,0.0,0,272.98,272.99
1766189485956386806,AAPL,TRADE,272.99,1,0.0,0.0
1766189485956839738,AAPL,QUOTE,0.0,0,272.99,272.99
1766189486816336513,AAPL,TRADE,272.99,1,0.0,0.0
1766189489273561431,AAPL,QUOTE,0.0,0,272.99,272.99
1766189491688859405,AAPL,QUOTE,0.0,0,272.99,273.0
1766189491689096812,AAPL,TRADE,272.9903,10,0.0,0.0
1766189491689114962,AAPL,TRADE,272.9901,184,0.0,0.0
1766189494379514776,AAPL,TRADE,273.0,50,0.0,0.0
1766189494380032642,AAPL,TRADE,273.0,10,0.0,0.0
1766189494380034741,AAPL,TRADE,273.0,93,0.0,0.0
1766189494380034785,AAPL,TRADE,273.0,13,0.0,0.0
1766189494380036080,AAPL,TRADE,273.0,200,0.0,0.0
1766189496332517786,AAPL,TRADE,272.9999,1,0.0,0.0
1766189498248777905,AAPL,QUOTE,0.0,0,272.99,273.0
1766189498248778488,AAPL,TRADE,273.0,801,0.0,0.0
1766189498248778895,AAPL,QUOTE,0.0,0,272.99,273.0
1766189498248779691,AAPL,TRADE,273.0,91,0.0,0.0
1766189498249073763,AAPL,TRADE,273.0,22,0.0,0.0
1766189498249111272,AAPL,TRADE,273.0,50,0.0,0.0
1766189498249111337,AAPL,TRADE,273.0,45,0.0,0.0
1766189498249111453,AAPL,TRADE,273.0,10,0.0,0.0
1766189498249120860,AAPL,QUOTE,0.0,0,272.99,273.0
1766189498249124044,AAPL,TRADE,272.99,3,0.0,0.0
1766189498249204797,AAPL,TRADE,273.0,10,0.0,0.0
1766189498249208571,AAPL,TRADE,273.0,1,0.0,0.0
1766189498249215953,AAPL,TRADE,273.0,11,0.0,0.0
1766189498249263948,AAPL,TRADE,273.0,4,0.0,0.0
1766189498250145915,AAPL,QUOTE,0.0,0,272.99,273.0
1766189501351547503,AAPL,QUOTE,0.0,0,272.99,273.0
1766189510383368734,AAPL,TRADE,272.9997,1,0.0,0.0
1766189512546390611,AAPL,QUOTE,0.0,0,272.99,273.0
1766189512546390716,AAPL,TRADE,273.0,2,0.0,0.0
1766189512546392391,AAPL,TRADE,273.0,5,0.0,0.0
1766189512546393876,AAPL,TRADE,273.0,10,0.0,0.0
1766189512546573324,AAPL,TRADE,273.0,3,0.0,0.0
